Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
600007.SH,中国国贸,-24.22,40.99,-29.66,20.84,16.65,15945.28,14504.87,12540.67,17627.44,17264.82,0.03,0.02,0.02,0.02,0.02
600008.SH,首创环保,-32.93,-1.9,-5.46,24.88,-13.21,20773.87,25031.41,20773.87,18705.12,24777.96,0.03,0.02,0.02,0.01,0.01
600009.SH,上海机场,14.33,58.08,-1.88,-36.97,22.5,63104.52,51054.41,82732.42,86111.27,49217.37,0.04,0.04,0.05,0.05,0.03
600010.SH,包钢股份,-40.51,-10.66,-11.63,143.61,-30.88,60820.25,88379.42,37062.34,41813.92,54215.53,0.02,0.01,0.01,0.01,0.02
600011.SH,华能国际,22.12,-23.68,-17.45,127.84,-18.82,83692.57,106567.81,49269.74,61367.22,64785,0.01,0.02,0.01,0.01,0.02
600012.SH,皖通高速,-43.95,1.5,10.15,20.91,12.44,8520.54,8252.45,7203.41,6853.73,12821.6,0.02,0.01,0.01,0.01,0.01
600015.SH,华夏银行,-16.63,6.36,-15.3,-4.99,-1,66549.74,71807.05,80141.79,98350.01,115404.18,0.01,0.01,0.01,0,0
600016.SH,民生银行,-17.39,16.79,-12.71,-21.38,-6.65,122344.33,138302.28,184403.04,223766,247939.34,0.01,0.01,0.01,0,0
600017.SH,日照港,-29.16,6.29,-0.05,-1.91,2.48,8673.34,8642.59,8857.88,8950.15,11933.54,0.01,0.01,0.01,0.01,0.01
600018.SH,上港集团,-20.55,14.24,-17.7,23.03,0.83,123747.42,126991.74,105903.69,133712.1,151321.94,0.02,0.02,0.02,0.01,0.01
600019.SH,宝钢股份,-21.43,-4.93,10,31.6,-15.59,122370.19,159040.45,131828.1,126860.24,190855.23,0.01,0.01,0.01,0.01,0.01
600020.SH,中原高速,-21.55,23.12,-22.09,-0.74,-6.82,6652.22,7348.91,7618.59,9888.44,10922.23,0.01,0.01,0.01,0.01,0.01
600021.SH,上海电力,-9.47,3.35,-9.05,84.54,-25.7,26197.81,33552.05,16712.39,18895.33,7822.44,0.02,0.02,0.01,0.01,0.02
600022.SH,山东钢铁,-27.29,-9.13,0.72,28.93,-14.26,15834.3,19594.32,15653.57,15653.57,22873.63,0.01,0.01,0.01,0.01,0.01
600023.SH,浙能电力,-8.49,-13.14,-2.88,18.75,-12.42,46796.48,54946.79,49370.5,53858.73,72491.68,0.01,0.01,0.01,0.01,0.01
600025.SH,华能水电,-40.35,39.98,10.01,53.19,6.37,118800,118620,80280,37676.16,9540,0.03,0.01,0.02,0.02,0.02
600026.SH,中远海能,-27.21,45.43,6.94,-8.26,111.81,34620.34,16960.64,18276.7,17455.89,16744.52,0.01,0.01,0.01,0.01,0.01
600027.SH,华电国际,29.49,-21.88,-2.64,72.35,18.35,47937.43,43579.73,27695.53,25674.38,25170.89,0.01,0.01,0.01,0.01,0.01
600028.SH,中国石化,-10.83,8.82,-15.83,12.67,15.67,414703.45,404209.37,385097.82,488300.21,585769.14,0.01,0.01,0.01,0.01,0.01
600029.SH,南方航空,-44.47,9.08,-17.25,18.72,12.12,77671.16,69597.24,48344.66,58240.72,83709.99,0.02,0.01,0.01,0.01,0.02
600030.SH,中信证券,-9.57,62.35,16.83,-5.94,-18.16,226310.67,259205.22,288551.05,248310.94,177645.38,0.01,0.01,0.02,0.02,0.02
600031.SH,三一重工,-6.58,112.29,116.33,-33.02,-30.62,133840.22,193631,296578.17,143579.99,68996.88,0.03,0.02,0.03,0.06,0.03
